Removed Pin From Net: NetName=GND Pin=C18-2
Removed Pin From Net: NetName=12V Pin=D8-1
Removed Pin From Net: NetName=NetC17_1 Pin=D8-2
Removed Pin From Net: NetName=3.3V Pin=R8-1
Removed Pin From Net: NetName=GND Pin=U3-3
Removed Pin From Net: NetName=NetC17_1 Pin=U3-4
Removed Pin From Net: NetName=3.3V Pin=U3-5
Removed Pin From Net: NetName=3.3V Pin=U3-6
Removed Pin From Net: NetName=NetC17_1 Pin=U3-8
Removed Member From Class: ClassName=U_MCU_POWER Member=C18
Removed Member From Class: ClassName=U_MCU_POWER Member=R35
Change Component Footprint: Designator=U3 Old Footprint=D0008A_L New Footprint=TRACO-SIP-3_V
Change Component Footprint: Designator=D8 Old Footprint=SMB New Footprint=FP-SMA-MFG
Change Component Comment : Designator=C17 Old Comment=2.2uF New Comment=2.2uF, 20V
Change Component Comment : Designator=U3 Old Comment=LP2989AIM-3.3/NOPB New Comment=TSR 1-2433
Change Component Comment : Designator=D8 Old Comment=S1BB-13-F New Comment=STPS1H100A
Change Component Designator: OldDesignator=R35 NewDesignator=R8
Change Managed Component Library Link : Designator=U3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=8AADE1A5-B536-47A7-A849-F98D71FA6460 New ItemGUID=E9367B37-A197-47D5-BAE6-E2E786832EE6 Old RevisionGUID=F02B8B0F-B018-46F2-B7FC-DE92CDB5B4D1 New RevisionGUID=540DA8E3-D5DC-4403-AABC-1080C4D8A8E6
Change Managed Component Library Link : Designator=D8 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=A1480E3D-3122-4DEC-8625-5A92D05698F6 Old RevisionGUID= New RevisionGUID=31AC356E-3349-4426-ACEE-0C02E1AAE310
Change component parameters: Designator = "D8" ("D8"); Footprint = "SMB"; UniqueID = "\UTPDAKUN\BTGUTJBE" ("\UTPDAKUN\BTGUTJBE")
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Diode"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.st.com/resource/en/datasheet/stps1h100.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Discrete Semiconductors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Diodes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "Schottky Diodes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "DIODE SCHOTTKY 100V 1A SMA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Current"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "2.65mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "STPS1H100A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Junction Temp"; Value = "+175°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Repetitive Reverse Voltage"; Value = "100V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Surge Forward Current"; Value = "50A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "Schottky Diodes & Rectifiers 1.0 Amp 100 Volt"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/stps1h100a-stmicroelectronics-55399361"; VariantName = "[No Variations]"
